Destination,Start date,Duration (days),Traveler age,Traveler gender,Traveler nationality,Accommodation type,Accommodation cost,Transportation type,Transportation cost,source
"London, UK",2023-05-01,7.0,35.0,Male,American,Hotel,1200.0,Flight,600.0,dataset_1
"Phuket, Thailand",2023-06-15,5.0,28.0,Female,Canadian,Resort,800.0,Flight,500.0,dataset_1
"Bali, Indonesia",2023-07-01,7.0,45.0,Male,Korean,Villa,1000.0,Flight,700.0,dataset_1
"New York, USA",2023-08-15,14.0,29.0,Female,British,Hotel,2000.0,Flight,1000.0,dataset_1
"Tokyo, Japan",2023-09-10,7.0,26.0,Female,Vietnamese,Airbnb,700.0,Train,200.0,dataset_1
"Paris, France",2023-10-05,5.0,42.0,Male,American,Hotel,1500.0,Flight,800.0,dataset_1
"Sydney, Australia",2023-11-20,10.0,33.0,Female,Australian,Hostel,500.0,Flight,1200.0,dataset_1
"Rio de Janeiro, Brazil",2024-01-05,7.0,25.0,Male,Brazilian,Airbnb,900.0,Flight,600.0,dataset_1
"Amsterdam, Netherlands",2024-02-14,7.0,31.0,Female,Dutch,Hotel,1200.0,Train,200.0,dataset_1
"Dubai, United Arab Emirates",2024-03-10,7.0,39.0,Male,Emirati,Resort,2500.0,Flight,800.0,dataset_1
"Cancun, Mexico",2024-04-01,7.0,27.0,Female,Mexican,Hotel,1000.0,Flight,500.0,dataset_1
"Barcelona, Spain",2024-05-15,7.0,36.0,Male,Spanish,Airbnb,800.0,Train,100.0,dataset_1
"Honolulu, Hawaii",2024-06-10,8.0,29.0,Female,Chinese,Resort,3000.0,Flight,1200.0,dataset_1
"Berlin, Germany",2024-07-01,9.0,48.0,Male,German,Hotel,1400.0,Flight,700.0,dataset_1
"Marrakech, Morocco",2024-08-20,7.0,26.0,Female,Moroccan,Riad,600.0,Flight,400.0,dataset_1
"Edinburgh, Scotland",2024-09-05,7.0,32.0,Male,Scottish,Hotel,900.0,Train,150.0,dataset_1
Paris,2023-09-01,9.0,30.0,Female,American,Hotel,900.0,Plane,400.0,dataset_1
Bali,2023-08-15,10.0,28.0,Male,Chinese,Resort,1500.0,Plane,700.0,dataset_1
London,2023-07-22,6.0,35.0,Female,British,Hotel,1200.0,Train,150.0,dataset_1
Tokyo,2023-10-05,10.0,45.0,Male,Japanese,Hotel,1200.0,Plane,800.0,dataset_1
New York,2023-11-20,5.0,27.0,Female,American,Airbnb,600.0,Bus,100.0,dataset_1
Sydney,2023-12-05,7.0,32.0,Male,Australian,Hotel,1000.0,Plane,600.0,dataset_1
Rome,2023-11-01,7.0,29.0,Female,Italian,Airbnb,700.0,Train,80.0,dataset_1
Bangkok,2023-09-15,8.0,40.0,Male,Indian,Hostel,400.0,Plane,500.0,dataset_1
Paris,2023-12-22,6.0,24.0,Female,Vietnamese,Hotel,1400.0,Train,100.0,dataset_1
Hawaii,2023-08-01,9.0,34.0,Male,Korean,Resort,2000.0,Plane,800.0,dataset_1
Barcelona,2023-10-20,8.0,31.0,Female,Spanish,Hotel,1100.0,Train,150.0,dataset_1
Japan,2022-05-10,8.0,30.0,Female,American,Hotel,800.0,Plane,500.0,dataset_1
Thailand,2022-06-15,7.0,45.0,Male,Canadian,Hostel,200.0,Train,150.0,dataset_1
France,2022-07-02,9.0,25.0,Male,Korean,Airbnb,600.0,Car rental,300.0,dataset_1
Australia,2022-08-20,13.0,28.0,Female,British,Hotel,1000.0,Car rental,500.0,dataset_1
Brazil,2022-09-05,9.0,33.0,Female,Australian,Hostel,150.0,Bus,50.0,dataset_1
Greece,2022-10-12,8.0,20.0,Male,American,Airbnb,400.0,Plane,600.0,dataset_1
Egypt,2022-11-08,7.0,37.0,Female,Canadian,Hotel,700.0,Train,100.0,dataset_1
Mexico,2023-01-05,10.0,42.0,Male,British,Airbnb,500.0,Plane,800.0,dataset_1
Italy,2023-02-14,6.0,31.0,Female,American,Hostel,180.0,Train,120.0,dataset_1
Spain,2023-03-23,8.0,27.0,Male,Korean,Hotel,900.0,Car rental,400.0,dataset_1
Canada,2023-04-19,7.0,38.0,Female,Australian,Airbnb,350.0,Bus,75.0,dataset_1
"Paris, France",2022-06-12,7.0,25.0,Female,American,Hotel,1400.0,Plane,600.0,dataset_1
"Sydney, Australia",2023-01-02,7.0,33.0,Male,Canadian,Airbnb,800.0,Train,150.0,dataset_1
"Tokyo, Japan",2022-12-10,8.0,28.0,Female,Chinese,Hostel,500.0,Plane,900.0,dataset_1
"Cancun, Mexico",2023-07-01,7.0,45.0,Male,American,Resort,2200.0,Plane,800.0,dataset_1
"Rio de Janeiro, Brazil",2022-11-20,7.0,30.0,Female,Brazilian,Hotel,1200.0,Plane,700.0,dataset_1
"London, UK",2023-03-05,7.0,55.0,Male,British,Airbnb,900.0,Train,100.0,dataset_1
"Barcelona, Spain",2023-08-18,7.0,27.0,Female,Spanish,Hostel,600.0,Plane,600.0,dataset_1
"New York City, USA",2022-09-15,7.0,41.0,Male,American,Hotel,1500.0,Plane,500.0,dataset_1
"Bangkok, Thailand",2023-05-01,6.0,29.0,Female,Indian,Airbnb,500.0,Bus,50.0,dataset_1
"Vancouver, Canada",2022-07-10,7.0,24.0,Male,Korean,Hostel,400.0,Train,150.0,dataset_1
"Amsterdam, Netherlands",2023-06-20,8.0,31.0,Female,Dutch,Hotel,1100.0,Plane,700.0,dataset_1
"Paris, France",2023-08-15,7.0,31.0,Female,Canadian,Hotel,1200.0,Train,300.0,dataset_1
"Tokyo, Japan",2023-10-10,10.0,25.0,Male,American,Hostel,500.0,Bus,100.0,dataset_1
"Sydney, AUS",2023-11-05,7.0,27.0,Female,South Korean,Airbnb,900.0,Car rental,200.0,dataset_1
"New York, USA",2023-12-24,7.0,28.0,Female,Canadian,Hotel,1400.0,Flight,800.0,dataset_1
"Rio de Janeiro, Brazil",2024-01-15,9.0,30.0,Male,Brazilian,Airbnb,800.0,Train,150.0,dataset_1
"Bangkok, Thailand",2024-02-01,8.0,23.0,Female,Indian,Hostel,400.0,Bus,50.0,dataset_1
"London, UK",2024-03-15,8.0,35.0,Male,British,Hotel,1000.0,Train,200.0,dataset_1
"Barcelona, Spain",2024-04-05,8.0,29.0,Female,Spanish,Airbnb,700.0,Car rental,250.0,dataset_1
"Seoul, South Korea",2024-05-10,8.0,27.0,Male,South Korean,Hostel,500.0,Subway,20.0,dataset_1
"Los Angeles, USA",2024-06-20,7.0,26.0,Male,Chinese,Hotel,1200.0,Car rental,300.0,dataset_1
"Rome, Italy",2024-07-15,8.0,33.0,Female,Italian,Airbnb,800.0,Train,100.0,dataset_1
Paris,2022-07-12,6.0,35.0,Female,American,Hotel,1200.0,Plane,800.0,dataset_1
Tokyo,2022-09-03,7.0,28.0,Male,Japanese,Hostel,400.0,Train,300.0,dataset_1
Cape Town,2023-01-07,9.0,29.0,Female,British,Vacation rental,800.0,Car rental,200.0,dataset_1
Sydney,2023-06-23,6.0,43.0,Male,Australian,Hotel,1500.0,Plane,1200.0,dataset_1
Barcelona,2023-08-18,7.0,31.0,Female,Spanish,Vacation rental,900.0,Plane,700.0,dataset_1
Bali,2024-02-01,7.0,27.0,Male,American,Resort,2200.0,Plane,1000.0,dataset_1
Paris,2024-05-06,6.0,39.0,Female,French,Hotel,1100.0,Train,200.0,dataset_1
New York,2024-07-20,6.0,25.0,Male,American,Vacation rental,1000.0,Plane,800.0,dataset_1
Bangkok,2024-09-08,8.0,33.0,Female,Indian,Hostel,300.0,Plane,700.0,dataset_1
Rome,2025-02-14,6.0,41.0,Male,Italian,Hotel,1300.0,Train,100.0,dataset_1
Bali,2025-05-21,8.0,37.0,Female,British,Resort,1800.0,Plane,1000.0,dataset_1
,,,,,,,,,,dataset_1
"Bali, Indonesia",2022-08-05,7.0,35.0,Female,South Korean,Resort,500.0,Plane,800.0,dataset_1
"Tokyo, Japan",2023-01-01,8.0,29.0,Male,American,Hotel,1000.0,Train,200.0,dataset_1
"Cancun, Mexico",2023-04-15,7.0,42.0,Female,Mexican,Resort,800.0,Plane,500.0,dataset_1
"Paris, France",2023-06-07,7.0,46.0,Male,British,Hotel,1200.0,Plane,700.0,dataset_1
"Cape Town, SA",2023-09-01,9.0,31.0,Male,South African,Guesthouse,400.0,Car,300.0,dataset_1
"Bali, Indonesia",2023-11-12,7.0,25.0,Female,Taiwanese,Resort,600.0,Plane,700.0,dataset_1
"Sydney, Aus",2024-02-05,7.0,38.0,Male,Australian,Hotel,900.0,Plane,600.0,dataset_1
"Bangkok, Thai",2024-05-15,7.0,27.0,Female,Korean,Hotel,400.0,Plane,400.0,dataset_1
"New York, USA",2024-08-20,7.0,60.0,Male,American,Hotel,1500.0,Plane,1000.0,dataset_1
"Phuket, Thai",2025-01-01,7.0,32.0,Female,British,Resort,700.0,Plane,800.0,dataset_1
"Rome, Italy",2025-04-15,7.0,41.0,Male,American,Hotel,100.0,,,dataset_1
Paris,2021-06-15,6.0,35.0,Male,American,Hotel,800.0,Plane,500.0,dataset_1
Tokyo,2021-07-01,10.0,28.0,Female,Korean,Airbnb,500.0,Train,300.0,dataset_1
Bali,2021-08-10,11.0,42.0,Female,Spanish,Resort,1200.0,Plane,700.0,dataset_1
Sydney,2021-09-01,9.0,45.0,Male,Australian,Hotel,900.0,Plane,600.0,dataset_1
New York,2021-10-15,6.0,31.0,Female,American,Airbnb,700.0,Car rental,200.0,dataset_1
London,2021-11-20,11.0,29.0,Male,British,Hostel,300.0,Plane,400.0,dataset_1
Dubai,2022-01-01,8.0,24.0,Female,Emirati,Hotel,1000.0,Plane,800.0,dataset_1
Bangkok,2022-02-14,7.0,26.0,Male,Vietnamese,Airbnb,400.0,Train,100.0,dataset_1
Rome,2022-03-10,11.0,30.0,Female,Italian,Hostel,200.0,Plane,350.0,dataset_1
Bali,2022-04-15,11.0,33.0,Male,Indonesian,Villa,1500.0,Car rental,300.0,dataset_1
Seoul,2022-05-01,10.0,27.0,Female,Korean,Hotel,800.0,Train,150.0,dataset_1
Paris,2022-06-15,5.0,35.0,Male,USA,Hotel,500.0,Plane,800.0,dataset_1
Tokyo,2022-09-01,9.0,28.0,Female,Canada,Airbnb,400.0,Train,200.0,dataset_1
Sydney,2022-11-23,9.0,45.0,Male,South Korea,Hostel,200.0,Plane,1200.0,dataset_1
London,2023-02-14,5.0,37.0,Female,UK,Hotel,600.0,Plane,700.0,dataset_1
New York,2023-05-08,6.0,50.0,Male,China,Airbnb,800.0,Car rental,300.0,dataset_1
Rome,2023-08-20,7.0,31.0,Female,Taiwan,Hotel,700.0,Plane,900.0,dataset_1
Bangkok,2023-11-12,8.0,42.0,Male,Japan,Hostel,300.0,Train,100.0,dataset_1
Cape Town,2024-01-06,8.0,27.0,Female,Spain,Airbnb,500.0,Plane,1500.0,dataset_1
Rio de Janeiro,2024-04-03,7.0,33.0,Male,Brazil,Hotel,900.0,Car rental,400.0,dataset_1
Bali,2024-07-22,6.0,29.0,Female,South Korea,Villa,1200.0,Plane,1000.0,dataset_1
Amsterdam,2024-10-10,7.0,41.0,Male,Germany,Hotel,600.0,Train,150.0,dataset_1
Paris,2022-05-15,5.0,35.0,Male,USA,Hotel,1000.0,Plane,800.0,dataset_1
Tokyo,2022-09-01,9.0,28.0,Female,South Korea,Airbnb,800.0,Train,500.0,dataset_1
New York,2022-06-20,5.0,42.0,Male,Hong Kong,Hotel,1200.0,Car rental,200.0,dataset_1
Bali,2022-08-12,8.0,30.0,Female,Taiwan,Resort,1500.0,Plane,1200.0,dataset_1
